CMDLINE python issue300_test.py
MEM 1.582031 1478098783.6104
MEM 22.011719 1478098783.7217
MEM 24.984375 1478098783.8330
MEM 30.121094 1478098783.9443
MEM 42.789062 1478098784.0562
MEM 66.375000 1478098784.1674
MEM 79.011719 1478098784.2785
MEM 95.441406 1478098784.3902
MEM 110.011719 1478098784.5014
MEM 121.750000 1478098784.6126
MEM 123.597656 1478098784.7238
MEM 123.597656 1478098784.8347
MEM 123.597656 1478098784.9453
MEM 123.597656 1478098785.0559
MEM 123.597656 1478098785.1665
MEM 123.597656 1478098785.2773
MEM 123.597656 1478098785.3879
MEM 123.597656 1478098785.4988
MEM 123.597656 1478098785.6095
MEM 123.597656 1478098785.7202
MEM 123.597656 1478098785.8310
MEM 123.597656 1478098785.9416
MEM 123.597656 1478098786.0525
MEM 123.597656 1478098786.1632
MEM 123.597656 1478098786.2738
MEM 123.597656 1478098786.3847
MEM 123.597656 1478098786.4977
MEM 124.082031 1478098786.6088
MEM 130.269531 1478098786.7201
MEM 138.777344 1478098786.8318
MEM 147.027344 1478098786.9432
MEM 155.277344 1478098787.0546
MEM 163.785156 1478098787.1660
MEM 172.035156 1478098787.2774
MEM 180.285156 1478098787.3887
MEM 188.792969 1478098787.5001
MEM 197.042969 1478098787.6114
MEM 205.292969 1478098787.7229
MEM 213.542969 1478098787.8342
MEM 221.792969 1478098787.9460
MEM 230.300781 1478098788.0573
MEM 238.550781 1478098788.1688
MEM 247.058594 1478098788.2802
MEM 255.566406 1478098788.3917
MEM 264.074219 1478098788.5031
MEM 272.324219 1478098788.6147
MEM 280.574219 1478098788.7260
MEM 288.824219 1478098788.8373
MEM 297.332031 1478098788.9487
MEM 305.582031 1478098789.0599
MEM 314.089844 1478098789.1711
MEM 322.339844 1478098789.2825
MEM 330.589844 1478098789.3938
MEM 339.097656 1478098789.5051
MEM 347.605469 1478098789.6167
MEM 355.855469 1478098789.7281
MEM 364.363281 1478098789.8394
MEM 372.871094 1478098789.9506
MEM 381.121094 1478098790.0620
MEM 389.628906 1478098790.1736
MEM 397.878906 1478098790.2850
MEM 406.128906 1478098790.3964
MEM 414.636719 1478098790.5077
MEM 423.144531 1478098790.6191
MEM 431.136719 1478098790.7305
MEM 439.644531 1478098790.8417
MEM 447.894531 1478098790.9530
MEM 456.144531 1478098791.0644
MEM 464.394531 1478098791.1758
MEM 472.902344 1478098791.2872
MEM 481.410156 1478098791.3985
MEM 489.660156 1478098791.5099
MEM 498.167969 1478098791.6213
MEM 506.417969 1478098791.7329
MEM 514.925781 1478098791.8446
MEM 523.433594 1478098791.9564
MEM 531.683594 1478098792.0679
MEM 539.933594 1478098792.1793
MEM 548.441406 1478098792.2907
MEM 556.691406 1478098792.4020
MEM 564.941406 1478098792.5133
MEM 573.191406 1478098792.6247
MEM 581.441406 1478098792.7361
MEM 589.949219 1478098792.8474
MEM 598.199219 1478098792.9588
MEM 606.707031 1478098793.0701
MEM 614.957031 1478098793.1814
MEM 623.464844 1478098793.2929
MEM 631.714844 1478098793.4045
MEM 640.222656 1478098793.5159
MEM 648.472656 1478098793.6274
MEM 656.722656 1478098793.7387
MEM 665.230469 1478098793.8500
MEM 673.480469 1478098793.9615
MEM 681.730469 1478098794.0730
MEM 689.980469 1478098794.1846
MEM 698.230469 1478098794.2959
MEM 706.738281 1478098794.4072
MEM 714.988281 1478098794.5186
MEM 723.238281 1478098794.6302
MEM 731.746094 1478098794.7417
MEM 739.996094 1478098794.8531
MEM 748.246094 1478098794.9646
MEM 756.753906 1478098795.0763
MEM 765.261719 1478098795.1877
MEM 773.511719 1478098795.2991
MEM 781.761719 1478098795.4104
MEM 790.269531 1478098795.5218
MEM 798.519531 1478098795.6332
MEM 806.769531 1478098795.7445
MEM 815.277344 1478098795.8558
MEM 825.523438 1478098795.9672
MEM 834.031250 1478098796.0785
MEM 842.281250 1478098796.1898
MEM 850.531250 1478098796.3010
MEM 859.039062 1478098796.4125
MEM 867.289062 1478098796.5239
MEM 875.539062 1478098796.6353
MEM 884.046875 1478098796.7471
MEM 892.296875 1478098796.8587
MEM 900.804688 1478098796.9701
MEM 909.054688 1478098797.0813
MEM 917.304688 1478098797.1927
MEM 925.812500 1478098797.3039
MEM 934.062500 1478098797.4151
MEM 942.312500 1478098797.5266
MEM 950.820312 1478098797.6380
MEM 959.070312 1478098797.7493
MEM 967.320312 1478098797.8606
MEM 975.570312 1478098797.9720
MEM 984.078125 1478098798.0834
MEM 992.328125 1478098798.1947
MEM 1000.835938 1478098798.3061
MEM 1009.343750 1478098798.4176
MEM 1017.851562 1478098798.5292
MEM 1026.101562 1478098798.6408
MEM 1034.351562 1478098798.7522
MEM 1042.859375 1478098798.8636
MEM 1051.367188 1478098798.9749
MEM 1059.875000 1478098799.0867
MEM 1068.898438 1478098799.1984
MEM 1077.664062 1478098799.3101
MEM 1086.429688 1478098799.4214
MEM 1095.453125 1478098799.5330
MEM 1104.218750 1478098799.6445
MEM 1112.984375 1478098799.7559
MEM 1122.007812 1478098799.8673
MEM 1130.773438 1478098799.9788
MEM 1139.539062 1478098800.0903
MEM 1148.562500 1478098800.2017
MEM 1157.585938 1478098800.3131
MEM 1166.609375 1478098800.4246
MEM 1175.375000 1478098800.5360
MEM 1184.398438 1478098800.6474
MEM 1193.421875 1478098800.7587
MEM 1202.445312 1478098800.8704
MEM 1211.468750 1478098800.9818
MEM 1220.492188 1478098801.0932
MEM 1229.257812 1478098801.2047
MEM 1238.281250 1478098801.3160
MEM 1247.304688 1478098801.4275
MEM 1256.328125 1478098801.5388
MEM 1265.351562 1478098801.6500
MEM 1274.375000 1478098801.7614
MEM 1283.656250 1478098801.8726
MEM 1292.679688 1478098801.9838
MEM 1301.703125 1478098802.0954
MEM 1310.984375 1478098802.2067
MEM 1320.007812 1478098802.3179
MEM 1329.289062 1478098802.4292
MEM 1338.312500 1478098802.5405
MEM 1342.691406 1478098802.6528
MEM 1404.664062 1478098802.7651
MEM 1500.828125 1478098802.8772
MEM 1602.921875 1478098802.9891
