Feature,Type,Covariates
ENSG00000000419.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000000938.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000000971.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000001036.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000001084.6,linear,ethnicity;CMC;LIBD_szControl
ENSG00000001167.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000001617.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000001626.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000001630.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002016.12,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002330.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002549.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002586.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002587.5,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002726.15,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002745.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000002822.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003056.3,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003096.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003137.4,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003147.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003393.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003400.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003402.15,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003436.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000003987.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004455.12,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004468.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004660.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004779.5,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004846.12,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004897.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004948.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004961.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000004975.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005022.5,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005075.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005156.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005187.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005249.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005339.8,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005469.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005471.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005844.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005884.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005893.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000005961.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006062.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006071.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006074.4,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006075.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006116.3,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006125.12,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006210.6,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006283.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006327.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006451.3,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006530.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006534.11,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006606.4,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006607.9,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006625.13,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006634.3,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006638.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006695.6,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006704.6,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006747.10,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006757.7,linear,ethnicity;CMC;LIBD_szControl
ENSG00000006831.9,linear,ethnicity;CMC;LIBD_szControl
