Feature,Type,Covariates
1367462_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367475_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367556_s_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367557_s_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367560_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367566_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367567_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367569_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367572_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367574_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367575_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367576_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
1367579_a_at,linear,DoseOrd;SacriOrd;COMPOUND_1;COMPOUND_2;COMPOUND_3;COMPOUND_4;COMPOUND_5;COMPOUND_6
