Subset,Subset size,Features
KEGG_FOLATE_BIOSYNTHESIS,9,ENSG00000116096.5;ENSG00000131979.14;ENSG00000136877.10;ENSG00000137563.7;ENSG00000150787.3;ENSG00000151552.7;ENSG00000162551.9;ENSG00000163283.6;ENSG00000228716.2
KEGG_LIMONENE_AND_PINENE_DEGRADATION,9,ENSG00000072210.14;ENSG00000084754.6;ENSG00000111275.8;ENSG00000113790.6;ENSG00000127884.4;ENSG00000137124.6;ENSG00000143149.8;ENSG00000164904.11;ENSG00000180667.6
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,10,ENSG00000011376.5;ENSG00000060982.10;ENSG00000067704.8;ENSG00000105552.10;ENSG00000131828.9;ENSG00000133706.13;ENSG00000137411.12;ENSG00000168291.8;ENSG00000196305.13;ENSG00000204394.8
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,10,ENSG00000099998.13;ENSG00000100031.14;ENSG00000128683.9;ENSG00000129596.4;ENSG00000131067.12;ENSG00000136750.7;ENSG00000136881.7;ENSG00000139631.14;ENSG00000167741.6;ENSG00000181915.3
KEGG_NON_HOMOLOGOUS_END_JOINING,11,ENSG00000079246.11;ENSG00000113522.9;ENSG00000122678.10;ENSG00000152422.11;ENSG00000152457.13;ENSG00000166169.12;ENSG00000168496.3;ENSG00000174405.9;ENSG00000187736.8;ENSG00000196419.8;ENSG00000253729.3
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,12,ENSG00000072210.14;ENSG00000100253.8;ENSG00000109814.7;ENSG00000111275.8;ENSG00000137124.6;ENSG00000143149.8;ENSG00000156096.8;ENSG00000164904.11;ENSG00000167165.14;ENSG00000171234.9;ENSG00000173610.7;ENSG00000197888.2
KEGG_CIRCADIAN_RHYTHM_MAMMAL,12,ENSG00000008405.7;ENSG00000049246.10;ENSG00000121671.7;ENSG00000123095.5;ENSG00000126368.5;ENSG00000132326.7;ENSG00000133794.13;ENSG00000134107.4;ENSG00000134852.10;ENSG00000141551.10;ENSG00000170485.12;ENSG00000213923.6
KEGG_SULFUR_METABOLISM,13,ENSG00000088002.7;ENSG00000109193.6;ENSG00000136213.7;ENSG00000138801.4;ENSG00000139531.8;ENSG00000162813.13;ENSG00000171310.6;ENSG00000180767.5;ENSG00000196502.7;ENSG00000197165.6;ENSG00000198682.8;ENSG00000213648.6;ENSG00000261052.1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,14,ENSG00000008513.10;ENSG00000049860.9;ENSG00000102393.5;ENSG00000111728.6;ENSG00000128274.11;ENSG00000148288.7;ENSG00000157350.8;ENSG00000169255.9;ENSG00000172461.6;ENSG00000174951.6;ENSG00000176920.10;ENSG00000183778.13;ENSG00000198951.7;ENSG00000213614.5
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,14,ENSG00000008513.10;ENSG00000033170.12;ENSG00000086062.8;ENSG00000117411.12;ENSG00000121578.8;ENSG00000126091.15;ENSG00000140835.8;ENSG00000156966.6;ENSG00000157350.8;ENSG00000158850.10;ENSG00000170340.10;ENSG00000175040.4;ENSG00000175264.3;ENSG00000183196.4
